time,state,patch1,patch2,patch3,patch4,patch5
0,M,413.1,423,438.3,443.7,445.5
0,Y,8.06413,8.66854,8.94658,9.38026,9.63483
0,Z,0,0,0,0,0
1,M,378.99,396,420.57,440.73,443.25
1,Y,14.4842,15.757,16.4388,17.5112,18.07
1,Z,0,0,0,0,0
2,M,351.891,372.6,400.113,428.157,443.025
2,Y,19.6726,21.3962,22.7225,24.2749,25.4439
2,Z,0,0,0,0,0
3,M,323.902,344.34,392.502,430.341,440.123
3,Y,23.6251,26.0824,28.1058,29.9876,31.7025
3,Z,0,0,0,0,0
4,M,298.712,327.006,373.952,412.507,429.41
4,Y,26.4971,29.7776,32.3414,34.8269,36.9211
4,Z,0,0,0,0,0
5,M,275.141,315.905,364.456,409.056,444.069
5,Y,28.6453,32.712,35.8981,38.8387,41.9571
5,Z,0,0,0,0,0
6,M,260.226,311.315,353.211,405.051,442.862
6,Y,30.1953,35.3163,38.7143,42.3096,46.2839
6,Z,0,0,0,0,0
7,M,240.504,290.083,339.49,405.946,442.676
7,Y,31.2121,37.1509,41.0247,45.2602,49.978
7,Z,0,0,0,0,0
8,M,224.553,276.375,321.741,400.451,443.408
8,Y,31.8673,38.435,42.5853,47.7442,53.064
8,Z,0,0,0,0,0
9,M,209.298,264.038,312.067,390.106,459.368
9,Y,32.104,39.0891,43.7935,49.7508,56.3857
9,Z,0,0,0,0,0
10,M,198.268,254.734,307.86,382.595,462.031
10,Y,32.1264,39.3802,44.8937,51.4758,59.1584
10,Z,0,0,0,0,0
11,M,187.441,249.06,310.374,375.836,455.428
11,Y,31.9404,39.5806,45.8933,52.7107,61.3868
11,Z,2.53061,2.72028,2.80753,2.94363,3.02351
12,M,177.697,240.354,313.537,367.052,453.985
12,Y,31.1966,38.7421,46.1423,52.7804,62.3434
12,Z,4.54529,4.94472,5.15868,5.4952,5.67055
13,M,167.128,237.019,308.283,366.347,446.386
13,Y,30.2447,37.9593,46.2825,52.7492,63.2186
13,Z,6.17347,6.71435,7.13055,7.61771,7.98458
14,M,160.315,235.817,301.755,362.112,451.248
14,Y,29.3159,37.3701,46.1901,52.4839,63.9879
14,Z,7.41382,8.18493,8.81989,9.41041,9.94857
15,M,149.683,232.935,289.579,366.401,450.223
