time,patch,S_visitor,S_resident_home,S_resident_away,I_visitor,I_resident_home,I_resident_away,P_visitor,P_resident_home,P_resident_away,incidence_resident,incidence_traveller
0,0,0,260,0,0,240,0,0,0,0,0,0
0,1,0,247,0,0,253,0,0,0,0,0,0
0,2,0,249,0,0,251,0,0,0,0,0,0
0,3,0,241,0,0,259,0,0,0,0,0,0
0,4,0,233,0,0,267,0,0,0,0,0,0
1,0,3,249,12,9,227,12,0,0,0,0,0
1,1,14,240,7,8,243,10,0,0,0,0,0
1,2,10,236,13,8,246,5,0,0,0,0,0
1,3,11,239,4,11,249,8,0,0,0,0,0
1,4,8,225,10,6,258,7,0,0,0,0,0
2,0,13,241,20,11,221,18,0,0,0,0,0
2,1,15,233,14,26,241,12,0,0,0,0,0
2,2,15,229,21,15,237,13,0,0,0,0,0
2,3,19,236,9,12,235,20,0,0,0,0,0
2,4,16,224,14,14,247,15,0,0,0,0,0
3,0,19,239,24,10,215,22,0,0,0,0,0
3,1,22,226,24,26,235,15,0,0,0,0,0
3,2,22,229,21,15,235,15,0,0,0,0,0
3,3,17,231,17,19,231,21,0,0,0,0,0
3,4,20,226,14,21,242,18,0,0,0,0,0
4,0,24,235,28,20,211,26,0,0,0,0,0
4,1,24,227,24,29,227,22,0,0,0,0,0
4,2,20,229,22,24,225,24,0,0,0,0,0
4,3,23,230,19,17,226,25,0,0,0,0,0
4,4,24,218,22,31,236,24,0,0,0,0,0
5,0,30,237,28,28,204,31,0,0,0,0,0
5,1,25,223,29,37,226,22,0,0,0,0,0
5,2,21,229,22,26,217,32,0,0,0,0,0
5,3,27,219,30,18,219,32,0,0,0,0,0
5,4,32,215,26,32,235,24,0,0,0,0,0
6,0,31,245,20,36,206,29,0,0,0,0,0
6,1,26,218,34,32,225,23,0,0,0,0,0
6,2,21,221,30,26,217,32,0,0,0,0,0
6,3,25,220,30,17,211,39,0,0,0,0,0
6,4,35,220,24,35,233,23,0,0,0,0,0
7,0,27,242,26,33,210,22,0,0,0,0,0
7,1,29,214,39,28,223,24,0,0,0,0,0
7,2,33,220,31,25,219,30,0,0,0,0,0
7,3,29,219,33,17,213,35,0,0,0,0,0
7,4,36,223,25,30,230,22,0,0,0,0,0
8,0,24,242,27,29,205,26,0,0,0,0,0
8,1,34,224,31,27,215,30,0,0,0,0,0
8,2,33,224,28,33,217,31,0,0,0,0,0
8,3,27,222,30,20,212,36,0,0,0,0,0
8,4,28,219,30,37,228,23,0,0,0,0,0
9,0,27,240,29,32,206,25,0,0,0,0,0
9,1,37,230,26,23,216,28,0,0,0,0,0
9,2,30,218,34,29,223,25,0,0,0,0,0
9,3,25,223,30,25,213,34,0,0,0,0,0
9,4,32,217,32,33,221,30,0,0,0,0,0
10,0,28,240,31,41,198,31,0,0,0,0,0
10,1,35,230,26,28,215,29,0,0,0,0,0
10,2,29,217,36,27,221,26,0,0,0,0,0
10,3,24,228,27,28,203,42,0,0,0,0,0
10,4,35,219,31,33,221,29,0,0,0,0,0
11,0,24,229,43,32,165,28,6,29,6,0,0
11,1,41,230,27,18,172,31,9,35,5,0,0
11,2,36,218,35,26,200,15,6,29,3,0,0
11,3,29,227,29,28,175,26,0,33,10,0,0
11,4,32,221,28,25,196,29,4,25,1,0,0
12,0,34,241,35,33,161,28,6,29,6,0,0
12,1,34,222,35,19,163,40,7,37,3,0,0
12,2,31,220,35,29,195,18,7,27,5,0,0
12,3,35,231,26,33,173,27,3,32,11,0,0
12,4,27,219,30,31,193,32,4,24,2,0,0
13,0,30,236,40,31,163,26,8,31,4,0,0
13,1,32,225,35,22,170,30,4,36,4,0,0
13,2,35,216,40,23,191,21,6,26,6,0,0
13,3,43,237,22,31,175,23,3,35,8,0,0
13,4,25,221,28,27,191,34,4,23,3,0,0
14,0,35,235,42,32,158,30,7,31,4,0,0
14,1,31,220,40,26,169,31,6,34,6,0,0
14,2,38,216,40,20,191,21,8,26,6,0,0
14,3,45,235,24,36,169,29,2,36,7,0,0
14,4,29,217,32,31,191,34,3,23,3,0,0
15,0,39,235,42,25,156,32,6,33,2,0,0
15,1,36,224,37,25,171,28,6,36,4,0,0
15,2,36,219,37,23,187,25,2,26,6,0,0
15,3,33,232,28,41,173,24,5,37,6,0,0
15,4,30,219,30,30,190,35,2,23,3,0,0
16,0,36,230,49,26,160,26,6,31,4,0,0
16,1,39,225,37,18,171,27,7,33,7,0,0
16,2,32,227,29,27,193,19,4,29,3,0,0
16,3,38,232,30,32,173,22,4,35,8,0,0
16,4,34,218,34,28,185,37,4,23,3,0,0
17,0,36,235,44,30,159,27,6,31,4,0,0
17,1,42,227,35,25,173,25,7,35,5,0,0
17,2,30,223,34,26,180,31,5,29,3,0,0
17,3,31,228,35,33,170,24,5,32,11,0,0
17,4,41,220,32,29,186,36,2,24,2,0,0
18,0,35,239,42,29,162,22,6,31,4,0,0
18,1,41,228,35,26,172,25,8,36,4,0,0
18,2,30,227,31,27,180,30,5,28,4,0,0
18,3,29,225,39,29,168,25,5,31,12,0,0
18,4,45,220,33,30,182,39,2,24,2,0,0
19,0,32,243,39,30,161,22,3,32,3,0,0
19,1,38,231,32,25,172,25,9,34,6,0,0
19,2,31,232,27,25,180,29,5,25,7,0,0
19,3,36,229,36,31,168,24,6,32,11,0,0
19,4,33,219,36,21,187,32,7,23,3,0,0
20,0,37,245,37,27,161,22,3,31,4,0,0
20,1,37,220,44,23,173,23,11,35,5,0,0
20,2,34,229,31,24,181,27,5,27,5,0,0
20,3,41,233,33,30,167,24,2,31,12,0,0
20,4,33,221,37,23,185,31,6,25,1,0,0
21,0,36,250,33,28,160,22,6,31,4,0,0
21,1,37,223,42,20,172,23,9,33,7,0,0
21,2,35,232,29,22,179,28,6,25,7,0,0
21,3,43,223,43,34,171,20,4,33,10,0,0
21,4,35,220,39,17,187,28,4,25,1,0,0
22,0,34,249,37,29,159,20,8,31,4,0,0
22,1,31,225,40,21,168,27,7,34,6,0,0
22,2,36,234,29,23,180,25,7,25,7,0,0
22,3,37,226,41,29,171,19,3,33,10,0,0
22,4,41,228,32,18,185,29,4,24,2,0,0
23,0,37,249,36,25,163,17,8,29,6,1,0
23,1,21,227,38,24,173,22,8,34,6,0,0
23,2,30,239,24,22,175,30,5,26,6,0,0
23,3,34,236,30,28,177,14,2,33,10,0,0
23,4,38,231,32,17,178,33,6,25,1,0,1
24,0,38,250,35,24,164,16,6,30,5,0,0
24,1,28,230,35,17,168,27,5,35,5,0,0
24,2,34,228,35,21,179,26,5,27,5,0,0
24,3,32,233,35,30,173,16,2,35,8,0,0
24,4,43,228,35,22,182,29,7,24,2,0,1
25,0,29,249,36,28,160,20,6,29,6,1,0
25,1,31,223,40,26,170,27,5,34,6,2,0
25,2,39,230,32,26,176,30,9,27,5,1,0
25,3,38,237,33,30,165,22,3,34,9,0,0
25,4,41,225,37,17,184,28,6,23,3,2,0
26,0,30,250,35,23,160,20,5,30,5,1,0
26,1,29,222,42,24,172,24,3,36,4,0,0
26,2,39,237,24,24,181,26,5,28,4,2,0
26,3,33,235,37,29,161,24,3,36,7,0,0
26,4,40,229,33,15,191,21,5,25,1,0,0
27,0,29,251,34,16,156,24,3,31,4,1,0
27,1,38,224,39,26,177,20,3,36,4,2,0
27,2,38,240,22,22,176,30,3,28,4,0,0
27,3,33,229,46,34,162,20,4,38,5,0,0
27,4,33,231,30,19,190,23,6,24,2,1,0
28,0,26,254,30,21,152,29,4,31,4,0,0
28,1,37,233,30,26,176,21,4,36,4,0,1
28,2,37,229,31,23,179,29,4,26,6,2,0
28,3,32,221,52,36,161,23,4,37,6,2,0
28,4,37,233,26,17,194,21,6,24,2,3,1
29,0,25,259,27,22,155,24,4,31,4,1,0
29,1,32,236,27,23,173,24,4,33,7,0,0
29,2,29,236,26,25,183,23,8,27,5,0,0
29,3,31,224,48,35,160,25,3,38,5,0,0
29,4,34,235,23,16,191,25,6,22,4,1,1
30,0,34,250,36,20,156,23,5,31,4,1,0
30,1,26,234,27,24,178,21,2,33,7,2,0
30,2,34,237,26,28,180,25,6,29,3,0,0
30,3,34,224,45,34,166,22,4,37,6,3,0
30,4,32,231,26,13,189,28,6,23,3,1,0
31,0,36,251,34,21,156,24,4,31,4,3,0
31,1,33,233,28,26,174,25,2,34,6,1,0
31,2,26,230,30,31,184,24,4,29,3,3,0
31,3,33,232,35,29,162,28,4,36,7,3,1
31,4,27,226,28,16,198,22,7,25,1,2,0
32,0,32,256,28,17,159,22,4,31,4,1,0
32,1,33,232,28,28,178,22,2,31,9,1,0
32,2,32,228,31,29,186,23,6,30,2,1,0
32,3,31,228,38,25,168,23,7,34,9,2,0
32,4,27,224,30,13,198,22,7,24,2,1,0
